frequency_ratio_r,amplification_zeta_0.03,amplification_zeta_0.08,amplification_zeta_0.20
0.0,1.0,1.0,1.0
0.0025,1.000006238788852,1.0000061700375724,1.0000057500300625
0.005,1.0000249556216436,1.0000246806011681,1.000023000481009
0.0075,1.000056151897168,1.0000555330435046,1.0000517524351633
0.01,1.0000998299470378,1.0000987296193822,1.0000920076965667
0.0125,1.0001559930361195,1.0001542734860893,1.0001437687912245
0.015,1.0002246453631416,1.0002221687039736,1.0002070389674562
0.0175,1.0003057920614795,1.000302420237172,1.0002818221963432
0.02,1.000399439200113,1.0003950339545071,1.0003681231722785
0.0225,1.00050559378476,1.0005000166305462,1.0004659473136144
0.025,1.0006242637591831,1.000617375946823,1.0005753007634106
0.0275,1.0007554580066769,1.0007471204932252,1.0006961903902842
0.03,1.000899186351726,1.0008892597695453,1.0008286237893589
0.0325,1.0010554595618442,1.0010438041871985,1.0009726092833142
0.035,1.0012242893495893,1.0012107650711037,1.001128155923537
0.0375,1.0014056883747564,1.001390154661734,1.0012952734913738
0.04,1.0015996702467507,1.0015819861173318,1.0014739724994832
0.0425,1.00180624952714,1.0017862735162926,1.0016642641932916
0.045,1.0020254417323877,1.0020030318597182,1.0018661605525503
0.0475,1.0022572633367675,1.0022322770741383,1.0020796742929943
0.05,1.0025017317754619,1.002474026014403,1.0023048188681043
0.0525,1.002758865447843,1.0027282964667465,1.002541608470972
0.055,1.0030286837209392,1.002995107152023,1.0027900580362676
0.0575,1.0033112069330874,1.0032744777291165,1.003050183242312
0.06,1.0036064563977751,1.003566428798526,1.0033220005132535
0.0625,1.0039144544076666,1.0038709819061236,1.0036055270213482
0.065,1.0042352242388253,1.0041881595470934,1.0039007806893459
0.0675,1.0045687901551228,1.0045179851700465,1.0042077801929818
0.07,1.0049151774128444,1.004860483181316,1.0045265449635745
0.0725,1.005274412265488,1.0052156789494344,1.0048570951907294
0.075,1.005646521968761,1.0055835988097925,1.0051994518251515
0.0775,1.0060315347857742,1.0059642700694837,1.0055536365815643
0.08,1.0064294799924374,1.0063577210123333,1.0059196719417371
0.0825,1.0068403878830559,1.006763980904117,1.0062975811576222
0.085,1.0072642897761326,1.0071830799979662,1.0066873882546015
0.08750000000000001,1.007701218020376,1.007615049539969,1.0070891180348431
0.09,1.0081512060009157,1.0080599217749593,1.007502796080769
0.0925,1.008614288145731,1.0085177299525065,1.0079284487586346
0.095,1.009090499932289,1.0089885083330974,1.0083661032222213
0.0975,1.0095798778944025,1.0094722921945214,1.0088157874166412
0.1,1.0100824596293025,1.0099691178384556,1.0092775300822563
0.10250000000000001,1.010598283804933,1.0104790225972546,1.0097513607587127
0.105,1.0111273901674682,1.0110020448409451,1.0102373097890904
0.1075,1.0116698195490563,1.0115382239844328,1.0107354083241695
0.11,1.012225613875792,1.012087600494915,1.011245688326813
