wind_speed_ratio_V_V0,wind_force_ratio_F_F0
0.4,0.16000000000000003
0.5,0.25
0.6,0.36
0.7,0.48999999999999994
0.7999999999999999,0.6399999999999999
0.8999999999999999,0.8099999999999998
0.9999999999999999,0.9999999999999998
1.0999999999999999,1.2099999999999997
1.1999999999999997,1.4399999999999993
1.2999999999999998,1.6899999999999995
1.4,1.9599999999999997
1.4999999999999996,2.2499999999999987
1.5999999999999996,2.5599999999999987
1.6999999999999997,2.8899999999999992
1.7999999999999998,3.2399999999999993
1.8999999999999995,3.609999999999998
1.9999999999999996,3.9999999999999982
